author,candidato,circulation,date_published,source,title,url
,Freixo,,2016-10-18T18:37:52-02:00,extra,Candidatos fazem campanha para desmentir boatos no 2° turno,http://extra.globo.com/noticias/extra-extra/candidatos-fazem-campanha-para-desmentir-boatos-no-2-turno-20310554.html
Júnia Gama e Maria Lima - O Globo,Freixo,,2016-10-18T18:04:00-02:00,extra,"Sem apoio formal do PSDB, Crivella consegue acordo de reciprocidade com tucanos",http://extra.globo.com/noticias/brasil/sem-apoio-formal-do-psdb-crivella-consegue-acordo-de-reciprocidade-com-tucanos-20310363.html
Suellen Amorim - O Globo,Freixo,,2016-10-18T12:48:00-02:00,extra,"'Nunca apoiei ato violento', garante Freixo",http://extra.globo.com/noticias/brasil/nunca-apoiei-ato-violento-garante-freixo-20308102.html
,Freixo,,2016-10-18T12:00:05-02:00,odia,Coluna do Servidor: Reajuste do plano é limitado a 20%,http://odia.ig.com.br/economia/2016-10-18/coluna-do-servidor-reajuste-do-plano-e-limitado-a-20.html
,Freixo,,2016-10-18T12:00:05-02:00,odia,Informe: Empreiteiras retomam obras da prefeitura nas zonas Norte e Oeste,http://odia.ig.com.br/rio-de-janeiro/2016-10-18/informe-empreiteiras-retomam-obras-da-prefeitura-nas-zonas-norte-e-oeste.html
,Freixo,,2016-10-18T11:46:05-02:00,odia,Crivella mantém distância sobre Freixo: 51% a 28%,http://odia.ig.com.br/rio-de-janeiro/2016-10-18/crivella-mantem-distancia-sobre-freixo-51-a-28.html
,Freixo,,2016-10-18T11:19:00-02:00,jb,O Freixo afrouxa,http://www.jb.com.br/opiniao/noticias/2016/10/18/o-freixo-afrouxa/
,Freixo,,2016-10-18T11:03:04-02:00,odia,Marcelo Freixo quer cortar dez secretarias,http://odia.ig.com.br/rio-de-janeiro/2016-10-18/marcelo-freixo-quer-cortar-dez-secretarias.html
,Freixo,,2016-10-18T11:02:04-02:00,odia,Marcelo Crivella recebe apoio de Otávio Leite,http://odia.ig.com.br/rio-de-janeiro/2016-10-18/marcelo-crivella-recebe-apoio-de-otavio-leite.html
,Freixo,,2016-10-18T06:43:00-02:00,globo_g1,Veja as agendas de Marcelo Crivella e Marcelo Freixo nesta terça-feira (18),http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/veja-agendas-de-marcelo-crivella-e-marcelo-freixo-nesta-terca-feira-18.html
